Handled by,physical_id,gender,mouseline,Genotype,birthdate,End date,Confirmation of genotype,phenotype,project_title,Experiment,comment,PFA Liver,PFA Liver tumour,PFA Small intestine,PFA SI tumour,PFA Skin,PFA Skin_Hair,PFA Others,Freeze Liver,Freeze Liver tumour,Freeze Others
Alex Ang,4520B19,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",02-26-2017,01-02-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,7 days DOX Feed: 20 Mar 2017 to 27 Mar 2017,1,,,,,,,,,
Alex Ang,4520B20,Male,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",02-26-2017,01-02-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,7 days DOX Feed: 20 Mar 2017 to 27 Mar 2017,1,,,,,,,,,
Alex Ang,4882E03,Male,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",03-05-2017,05-02-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,27 Mar - 4 Apr'17: 7 days DOX Feed,1,,,,,,,,,
Alex Ang,4882E05,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-05-2017,05-02-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,27 Mar - 4 Apr'17: 7 days DOX Feed,1,,,,,,,,,
Alex Ang,4882E07,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-05-2017,05-02-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,27 Mar - 4 Apr'17: 7 days DOX Feed,1,,,,,,,,,
Alex Ang,4882E09R (Ear Cut),Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-05-2017,01-28-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,7 days DOX feed: From 27 Mar to 3rd Apr Chased 2 years,1,,,,,,,,,
Alex Ang,4882E10R (Ear Cut),Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-05-2017,01-28-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,7 days DOX feed: From 27 Mar to 3rd Apr Chased 2 years,1,,,,,,,,,
Alex Ang,4520D01,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",03-31-2017,04-02-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,20-27 April 2017: 7 Days on DOX Feed. / To be harvested at 1 year old / 2 Apr'18: Harvested Liver and S.I for IHC,1,,1,,,,,,,
Alex Ang,4520D03,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-31-2017,04-02-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,20-27 April 2017: 7 Days on DOX Feed. / To be harvested at 1 year old / 2 Apr'18: Harvested Liver and S.I for IHC,1,,1,,,,,,,
Alex Ang,4520D05,Male,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",03-31-2017,04-02-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,20-27 April 2017: 7 Days on DOX Feed. / To be harvested at 1 year old / 2 Apr'18: Harvested Liver and S.I for IHC,1,,1,,,,,,,
Alex Ang,4520D12,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-31-2017,03-06-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,20-27 April 2017: 7 Days on DOX Feed; chase 2 year,1,,,,,,,,,
Alex Ang,4520D13,Female,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",03-31-2017,03-06-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,20-27 April 2017: 7 Days on DOX Feed; chase 2 year,1,,,,,,,,,
Alex Ang,4882H05,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",04-23-2017,01-17-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,16 Jun'17: Begin on DOX Feed /22 Jun'17: Stopped DOX Feed,2,,,,,,,,,
Alex Ang,6670A11,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",06-18-2017,08-28-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,17 Jul'17: On DOX Water / 24 Jul'17: Stop DOX Water,1,,,,,,,,,
Alex Ang,6670A12,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",06-18-2017,08-28-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,17 Jul'17: On DOX Water / 24 Jul'17: Stop DOX Water,1,,,,,,,,,
Alex Ang,6670A13,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",06-18-2017,08-28-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,17 Jul'17: On DOX Water / 24 Jul'17: Stop DOX Water,1,,,,,,,,,
Alex Ang,6670B01,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",07-13-2017,03-14-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,8 Aug'17: On DOX / 13 Sept'17: Changed to DOX Water as the mice were playing  and wasting DOX Feed / 14 Mar'18: Harvested Liver,1,,1,,,,,,,
Alex Ang,6670B02,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",07-13-2017,03-14-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,8 Aug'17: On DOX / 13 Sept'17: Changed to DOX Water as the mice were playing  and wasting DOX Feed / 14 Mar'18: Harvested Liver,1,,1,,,,,,,
Alex Ang,6670B05,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",07-13-2017,03-14-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,8 Aug'17: On DOX / 13 Sept'17: Changed to DOX Water as the mice were playing  and wasting DOX Feed / 14 Mar'18: Harvested Liver,1,,1,,,,,,,
Alex Ang,6670D01,Male,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",09-22-2017,03-05-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,To be harvested for Liver and S.I @ 6months (~180days)/ 17 Oct'17: Begin DOX Feed / 24 Oct'17: Stop DOX,1,,1,,,,,,,
Alex Ang,6670D02,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",09-22-2017,12-11-2017,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - Acute DEN,17 Oct'17: Begin DOX Feed / 24 Oct'17: Stop DOX Acute DEN induction - 72hr control / 11 Dec'17: Harvested Liver and Small Intestine,1,,1,,,,,,,
Alex Ang,6670D03,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",09-22-2017,03-05-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,To be harvested for Liver and S.I @ 6months (~180days)/ 17 Oct'17: Begin DOX Feed / 24 Oct'17: Stop DOX,1,,1,,,,,,,
Alex Ang,6670D04,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",09-22-2017,12-27-2017,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - Acute DEN,17 Oct'17: Begin DOX Feed / 24 Oct'17: Stop DOX Acute DEN induction - Brad / 11 Dec'17: 100uL BrdU injection Harvested after 7 doses of BrdU.,1,,,,,,,,,
Alex Ang,6670D05,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",09-22-2017,03-05-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,To be harvested for Liver and S.I @ 6months (~180days)/ 17 Oct'17: Begin DOX Feed / 24 Oct'17: Stop DOX,1,,1,,,,,,,
Alex Ang,6432A06,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",10-10-2017,12-11-2017,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,"Mum on DOX at P7 (18/10/2017), Off DOX at P12 (23/10/2017) / 11 Dec'17: Harvested Liver and Small Intestine",1,,1,,,,,,,
Alex Ang,6432A07,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",10-10-2017,12-11-2017,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,"Mum on DOX at P7 (18/10/2017), Off DOX at P12 (23/10/2017) / 11 Dec'17: Harvested Liver and Small Intestine",1,,1,,,,,,,
Alex Ang,6432A09,Female,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",10-10-2017,12-11-2017,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,"Mum on DOX at P7 (18/10/2017), Off DOX at P12 (23/10/2017) / 11 Dec'17: Harvested Liver and Small Intestine",1,,1,,,,,,,
Alex Ang,6456A02,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",10-13-2017,07-18-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,"DEN injected 25/10/2017 (On DOX 20/10/2017, Off DOX 25/10/2017); liver and intestine tumours; liver and S.I. harvested for PFA",1,1,1,,,,,,,
Alex Ang,6456A04,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",10-13-2017,07-25-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,"DEN injected 25/10/2017 (On DOX 20/10/2017, Off DOX 25/10/2017) Liver tumour for PFA",,1,,,,,,,,
Alex Ang,6456A05,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",10-13-2017,07-25-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,"DEN injected 25/10/2017 (On DOX 20/10/2017, Off DOX 25/10/2017) Liver tumour for PFA",,1,,,,,,,,
Alex Ang,6917A02,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",11-19-2017,08-06-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,Pulsed with DOX P7-P12; Injected with DEN on P12 (1/12/17),,4,,,,,,,,
Alex Ang,6917A03,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",11-19-2017,08-06-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,Pulsed with DOX P7-P12; Injected with DEN on P12 (1/12/17),,5,,,,,,,,
Alex Ang,6917A06,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",11-19-2017,08-06-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,6917A06 Pulsed with DOX P7-P12; Injected with DEN on P12 (1/12/17),,1,,,,,,,,
Alex Ang,6432C04,Female,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",12-15-2017,03-13-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,22 Dec'17: Begin DOX Feed and Water / 27 Dec'17: Off DOX,1,,,,,,,,,
Alex Ang,6432C08,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",12-15-2017,07-11-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,"22 Dec'17: Begin DOX Feed and Water / 27 Dec'17: Off DOX, 6 months after Dox",1,,,,,,,,,
Alex Ang,6432C09,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",12-15-2017,03-13-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,22 Dec'17: Begin DOX Feed and Water / 27 Dec'17: Off DOX; No RFP signal,1,,,,,,,,,
Alex Ang,6432C10,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",12-15-2017,03-13-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,22 Dec'17: Begin DOX Feed and Water / 27 Dec'17: Off DOX,1,,,,,,,,,
Alex Ang,6432C11,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",12-15-2017,08-20-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,22 Dec'17: Begin DOX Feed and Water / 27 Dec'17: Off DOX,1,,,,,,,,,
Alex Ang,0091A05,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",12-18-2017,09-18-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"12-26 Feb'18: On DOX / 26 Feb'18: Back to Normal Feed, 35uL (1.05 mg) TAM injection 26/2, 28/2, 2/3",1,,,,,,,,,
Alex Ang,0091A06,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",12-18-2017,10-09-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"12-26 Feb'18: On DOX / 26 Feb'18: Back to Normal Feed, 67uL (2mg) TAM injection 26/2, 28/2, 2/3",1,,,,,,,,,
Alex Ang,0091A08,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",12-18-2017,10-09-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"12-26 Feb'18: On DOX / 26 Feb'18: Back to Normal Feed, 100uL (3mg) TAM injection 26/2, 28/2, 2/3",1,,,,,,,,,
Alex Ang,0091A09,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",12-18-2017,10-09-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"12-26 Feb'18: On DOX / 26 Feb'18: Back to Normal Feed, 100uL Sunflower Oil with 10%EtOH injection 26/2, 28/2, 2/3",1,,,,,,,,,
Alex Ang,0106A04,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",01-02-2018,08-13-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"P7-P12 Pulsed with DOX; IP injected with 50ul Vehicle on 27/2, 1/3, 3/3 Harvest Liver for PFA",1,,,,,,,,,
Alex Ang,0106A05,Female,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",01-02-2018,08-13-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"P7-P12 Pulsed with DOX; IP injected with 50ul Vehicle on 27/2, 1/3, 3/3 Harvest Liver for PFA",1,,,,,,,,,
Alex Ang,0106A06,Female,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",01-02-2018,08-13-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"P7-P12 Pulsed with DOX; IP injected with 1.5mg Tamoxifen on 27/2, 1/3, 3/3 Harvest Liver for PFA",1,,,,,,,,,
Alex Ang,0106A09,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",01-02-2018,08-13-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"P7-P12 Pulsed with DOX; IP injected with 1.5mg Tamoxifen on 27/2, 1/3, 3/3 Harvest Liver for PFA",1,,,,,,,,,
Alex Ang,0106A20,Male,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",01-02-2018,09-19-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN-induced injury,"P7-P12 Pulsed with DOX; DEN injected at P12, 25mg/kg",,1,,,,,,,,
Alex Ang,0106A14,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",01-02-2018,09-12-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,"P7-P12 Pulsed with DOX; DEN injected at P12, 25mg/kg",,1,,,,,,,,
Alex Ang,0106A17,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",01-02-2018,09-12-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,"P7-P12 Pulsed with DOX; DEN injected at P12, 25mg/kg",,1,,,,,,,,
Alex Ang,0106A18,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",01-02-2018,09-12-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - DEN tumour,"P7-P12 Pulsed with DOX; DEN injected at P12, 25mg/kg",,1,,,,,,,,
Alex Ang,0558A10,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",02-06-2018,03-14-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,28 Feb'18: Begin DOX 7 March'18: Dox OFF. TAM 1.0mg on 9/11/13 Mar; BrdUx1 on 14 Mar / 14 Mar'18: Harvested Liver,1,,,,,,,,,
Alex Ang,0558A11,Male,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",02-06-2018,03-14-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,28 Feb'18: Begin DOX 7 March'18: Dox OFF. TAM 1.0mg on 9/11/13 Mar; BrdUx1 on 14 Mar / 14 Mar'18: Harvested Liver,1,,,,,,,,,
Alex Ang,0558A12,Male,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",02-06-2018,03-14-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,28 Feb'18: Begin DOX 7 March'18: Dox OFF. TAM 1.0mg on 9/11/13 Mar; BrdUx1 on 14 Mar / 14 Mar'18: Harvested Liver,1,,,,,,,,,
Alex Ang,0758A18,Female,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",02-19-2018,03-05-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,"26 Feb'18: Begin DOX and DOX water for the mother, 40uL BrdU injection daily 26/2-3/3",1,,1,,,,,,,
Alex Ang,0758A19,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",02-19-2018,03-05-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,"26 Feb'18: Begin DOX and DOX water for the mother, 40uL BrdU injection daily 26/2-3/3",1,,1,,,,,,,
Alex Ang,0758A20,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",02-19-2018,03-05-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,"26 Feb'18: Begin DOX and DOX water for the mother, 40uL BrdU injection daily 26/2-3/3",1,,1,,,,,,,
Alex Ang,0968A07,Female,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",02-21-2018,04-23-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"Dox 16-23 Apr '18 (8wks old); TAM injection 3mg on 25, 27, 29 Apr '18",1,,,,,,,,,
Alex Ang,0968A08,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",02-21-2018,04-23-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"Dox 16-23 Apr '18 (8wks old); TAM injection 3mg on 25, 27, 29 Apr '18",1,,,,,,,,,
Alex Ang,0991A02,Male,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",03-20-2018,02-21-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"27 Mar '18 Dox ON (P7); 3 Apr '18 Dox OFF (P14) TAM inj. 2mg on 20,22,24 Apr '18 Harvested for PFA; whole mount images taken",1,,,,,,,,,
Alex Ang,0991A04,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-20-2018,02-21-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"27 Mar '18 Dox ON (P7); 3 Apr '18 Dox OFF (P14) TAM inj. 2mg on 20,22,24 Apr '18 Harvested for PFA; whole mount images taken",1,,,,,,,,,
Alex Ang,0991A06,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-20-2018,02-21-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"27 Mar '18 Dox ON (P7); 3 Apr '18 Dox OFF (P14) TAM inj. 2mg on 20,22,24 Apr '18 Harvested for PFA; whole mount images taken",1,,,,,,,,,
Alex Ang,0991A20,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",03-20-2018,02-21-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"27 Mar '18 Dox ON (P7); 3 Apr '18 Dox OFF (P14) TAM inj. 2mg on 20,22,24 Apr '18 Harvested for PFA; whole mount images taken",1,,,,,,,,,
Alex Ang,9925C05,Male,Lgr5/Kai/Tomato,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",03-21-2018,11-19-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"Dox 11-18 Apr '18 (p21-28); TAM inj. 2mg on 20, 22, 24 Apr '18",1,,,,,,,,,
Alex Ang,9925C06,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-21-2018,11-19-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"Dox 11-18 Apr '18 (p21-28); TAM inj. 2mg on 20, 22, 24 Apr '18",1,,,,,,,,,
Alex Ang,9925C07,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",03-21-2018,11-19-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"Dox 11-18 Apr '18 (p21-28); TAM inj. 2mg on 20, 22, 24 Apr '18",1,,,,,,,,,
Alex Ang,9925C11,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-21-2018,11-19-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"Dox 11-18 Apr '18 (p21-28); TAM inj. 2mg on 20, 22, 24 Apr '18",1,,,,,,,,,
Alex Ang,9925C12,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",03-21-2018,04-23-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"Dox 11-18 Apr '18 (p21-28); TAM inj. 2mg on 20, 22, 24 Apr '18; NO RFP",1,,,,,,,,,
Alex Ang,9925C13,Female,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",03-21-2018,04-23-2019,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing - TAM-induced injury,"Dox 11-18 Apr '18 (p21-28); TAM inj. 2mg on 20, 22, 24 Apr '18",1,,,,,,,,,
Alex Ang,9925D02,Male,Lgr5/Kai/Tomato,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",04-13-2018,05-07-2018,Yes,NA,Role of Lgr5 in liver regeneration,Lineage tracing,"Dox 20-25 Apr '18 (P7-12); BrdU 50ul on 23,25,27 Apr; 80ul 30 Apr, 2,4, 7 May '18; Harvest Livers for PFA fixation",1,,,,,,,,,
